Year,Deaths,Continent
2008,6014,Europe
2019,5835,Africa
2019,2742,Europe
2005,2040,Europe
2018,1995,Europe
2009,1948,Europe
2018,1812,Africa
2004,1281,Europe
2001,937,Europe
2012,923,Europe
2010,777,Europe
2017,764,Europe
2002,525,Europe
2011,523,Europe
2014,453,Europe
2015,128,Europe
2012,108,Africa
2007,87,Europe
2000,82,Europe
2004,60,Africa
2005,60,Africa
2006,60,Africa
2013,58,Europe
2016,55,Europe
2003,51,Europe
2006,41,Europe
2016,20,Africa
2011,12,Africa
2008,9,Africa
2009,9,Africa
2010,9,Africa
